age,loan_amount,duration_months,savings_months,arrears_12m,debt_to_income,purpose,employment_status,credit_history,default_flag
34,2051,36,0,0,0.336,home_improvement,contractor,minor_arrears,0
68,21588,36,3,1,0.285,home_improvement,casual,clean,0
61,9102,24,0,0,0.434,car,permanent,minor_arrears,0
31,8403,12,3,1,0.529,car,self_employed,clean,0
39,2677,36,3,0,0.164,car,contractor,clean,0
46,4003,18,3,1,0.203,education,permanent,minor_arrears,0
53,7177,6,1,0,0.09,home_improvement,permanent,minor_arrears,1
66,4116,18,6,0,0.645,small_business,permanent,clean,0
63,15898,18,12,0,0.369,small_business,casual,minor_arrears,0
68,8915,18,6,1,0.397,home_improvement,permanent,clean,0
22,4153,36,6,0,0.106,home_improvement,permanent,clean,0
32,14338,36,3,1,0.32,car,self_employed,clean,1
48,6520,36,0,1,0.401,small_business,self_employed,clean,1
23,13913,12,6,0,0.28,education,contractor,minor_arrears,0
38,5801,36,3,0,0.492,car,self_employed,restructured,0
28,12103,36,1,0,0.69,home_improvement,contractor,minor_arrears,0
66,6359,12,1,1,0.168,home_improvement,contractor,clean,0
24,15901,36,24,1,0.156,car,contractor,clean,0
28,2081,24,6,1,0.18,home_improvement,permanent,clean,0
30,3305,24,3,1,0.577,home_improvement,permanent,minor_arrears,0
28,7637,12,6,1,0.487,small_business,permanent,clean,0
48,5113,24,3,0,0.298,small_business,casual,clean,0
38,6221,12,3,1,0.326,small_business,permanent,minor_arrears,0
65,13040,12,1,0,0.189,education,permanent,minor_arrears,0
33,6128,12,3,1,0.462,consumer_goods,casual,clean,0
47,10570,60,6,0,0.259,home_improvement,permanent,clean,0
53,4366,18,0,0,0.278,home_improvement,permanent,minor_arrears,1
51,1806,18,6,0,0.417,small_business,contractor,clean,0
60,13856,18,1,0,0.29,education,contractor,clean,0
30,24777,48,6,2,0.282,home_improvement,permanent,restructured,1
45,9835,24,6,0,0.322,small_business,permanent,clean,0
60,7932,48,6,0,0.447,consumer_goods,permanent,clean,0
63,9140,18,6,1,0.583,consumer_goods,contractor,clean,0
51,19689,12,24,0,0.414,home_improvement,contractor,clean,0
52,9916,24,3,2,0.449,home_improvement,permanent,clean,1
63,14304,18,6,0,0.288,consumer_goods,contractor,clean,0
51,13888,36,6,0,0.207,education,permanent,clean,0
67,16788,48,1,0,0.425,consumer_goods,permanent,clean,0
27,7813,24,1,0,0.347,home_improvement,self_employed,restructured,0
38,5745,60,3,0,0.092,car,permanent,prior_default,1
26,12194,24,1,0,0.268,car,permanent,clean,0
25,16018,18,1,0,0.307,consumer_goods,permanent,clean,0
44,18032,24,3,0,0.238,car,casual,minor_arrears,0
32,21269,6,6,0,0.557,education,self_employed,prior_default,1
40,15084,36,1,1,0.397,education,self_employed,restructured,1
42,5520,12,12,1,0.54,car,permanent,clean,0
51,9827,18,3,0,0.362,education,permanent,clean,0
67,9242,24,6,1,0.333,consumer_goods,contractor,clean,0
62,8564,6,0,0,0.17,car,permanent,minor_arrears,0
39,12210,12,3,0,0.322,consumer_goods,self_employed,clean,0
36,7318,36,0,0,0.322,consumer_goods,casual,clean,0
58,7325,12,6,0,0.101,education,permanent,clean,0
27,25749,24,1,0,0.234,car,contractor,clean,1
47,8101,18,24,0,0.268,small_business,permanent,clean,0
41,16709,12,1,0,0.386,car,permanent,clean,0
29,17344,12,3,0,0.394,education,casual,minor_arrears,0
51,10013,36,1,0,0.227,consumer_goods,permanent,minor_arrears,0
36,7529,60,6,0,0.395,consumer_goods,casual,minor_arrears,0
30,4496,12,3,0,0.291,consumer_goods,casual,clean,1
53,2473,60,1,0,0.02,education,self_employed,minor_arrears,0
29,12797,24,1,0,0.242,small_business,self_employed,minor_arrears,1
53,11127,36,0,0,0.493,small_business,permanent,clean,1
28,14068,36,0,0,0.051,education,permanent,clean,1
42,6011,36,24,0,0.338,small_business,casual,minor_arrears,0
60,27428,36,3,0,0.574,car,self_employed,clean,0
32,11794,24,0,2,0.198,car,permanent,clean,1
58,7889,24,24,0,0.32,home_improvement,permanent,clean,0
56,1738,18,0,0,0.111,car,permanent,clean,0
65,6502,12,3,1,0.58,car,permanent,clean,0
29,14511,36,6,0,0.307,consumer_goods,casual,clean,1
56,20915,6,12,0,0.327,consumer_goods,permanent,clean,0
66,8771,18,6,0,0.537,home_improvement,contractor,minor_arrears,0
58,23134,12,3,2,0.426,consumer_goods,contractor,clean,0
30,4252,12,24,0,0.18,consumer_goods,contractor,clean,0
61,11354,36,0,0,0.216,car,permanent,clean,0
26,11571,36,24,0,0.399,home_improvement,permanent,minor_arrears,0
49,12866,24,12,1,0.22,education,contractor,prior_default,1
45,9614,12,24,0,0.02,car,contractor,clean,1
47,10940,24,1,0,0.311,consumer_goods,permanent,clean,1
46,4179,18,0,0,0.083,home_improvement,self_employed,clean,0
22,19631,36,6,1,0.579,home_improvement,permanent,clean,1
45,15646,24,3,1,0.348,car,contractor,restructured,0
66,10652,24,3,0,0.175,car,permanent,clean,1
42,15887,24,24,0,0.208,consumer_goods,permanent,prior_default,0
34,20037,60,6,0,0.02,car,permanent,clean,0
69,12742,36,1,0,0.144,car,permanent,clean,0
25,29329,24,3,0,0.483,education,permanent,restructured,1
44,13451,24,0,0,0.677,home_improvement,permanent,clean,1
46,4664,6,1,0,0.436,small_business,permanent,minor_arrears,0
44,10293,60,0,0,0.305,home_improvement,contractor,clean,0
66,16293,18,12,0,0.251,car,permanent,restructured,0
41,20050,18,6,2,0.167,car,casual,clean,0
68,9753,60,3,1,0.65,consumer_goods,contractor,clean,0
24,4401,36,1,1,0.29,small_business,permanent,minor_arrears,1
56,7415,6,6,0,0.659,small_business,permanent,clean,0
50,3121,12,12,0,0.543,small_business,contractor,clean,0
32,14375,6,12,1,0.041,consumer_goods,contractor,minor_arrears,0
32,6444,24,3,0,0.213,car,permanent,clean,0
56,5207,12,12,0,0.213,education,contractor,restructured,0
52,15307,48,3,1,0.307,home_improvement,permanent,minor_arrears,1
50,22837,48,3,0,0.31,education,permanent,minor_arrears,0
23,5190,24,12,0,0.799,consumer_goods,contractor,clean,0
50,9797,24,3,0,0.148,home_improvement,permanent,clean,0
69,7634,18,3,0,0.357,consumer_goods,contractor,prior_default,1
21,20649,12,1,0,0.419,consumer_goods,permanent,clean,0
43,8256,36,3,2,0.32,home_improvement,contractor,clean,0
45,4106,12,3,0,0.338,consumer_goods,permanent,clean,0
64,8531,12,6,0,0.153,small_business,permanent,clean,0
34,17929,18,3,0,0.337,consumer_goods,permanent,clean,0
44,7324,6,1,0,0.402,education,permanent,minor_arrears,0
56,5588,24,12,0,0.372,home_improvement,contractor,minor_arrears,0
23,8001,36,1,0,0.411,home_improvement,permanent,restructured,0
60,4201,36,24,0,0.546,car,permanent,clean,0
61,7627,24,1,0,0.47,education,permanent,clean,1
56,5894,48,3,1,0.331,consumer_goods,permanent,clean,0
52,32756,24,3,0,0.133,small_business,contractor,minor_arrears,0
57,1995,48,12,1,0.224,car,permanent,clean,0
59,4649,24,0,0,0.285,education,self_employed,clean,0
65,5585,12,12,0,0.36,car,permanent,clean,1
41,4222,60,3,0,0.243,car,casual,minor_arrears,0
43,11428,18,3,0,0.17,consumer_goods,permanent,minor_arrears,0
52,5124,6,3,0,0.13,home_improvement,permanent,restructured,0
30,2885,18,0,0,0.056,education,contractor,clean,0
62,9212,18,3,0,0.282,small_business,self_employed,prior_default,0
58,7031,18,1,0,0.085,car,contractor,clean,1
51,5299,24,1,0,0.16,car,permanent,clean,0
35,20318,48,6,0,0.257,small_business,permanent,clean,0
38,11687,18,3,0,0.106,small_business,casual,clean,0
42,10830,24,0,1,0.381,consumer_goods,permanent,clean,0
53,11860,18,0,0,0.438,small_business,contractor,clean,0
